label;logFC;logCPM;FDR;Regulation;Gene_ID
ATERDJ3B;1.67542301791256;-16.8827867244647;6.63769394344256e-35;Up;AT3G62600.1
AT3G10020;2.08546622834324;-16.744488992536;7.17259281425204e-35;Up;AT3G10020.1
KFB;-2.12280676992433;-18.0666714618904;7.63311190634884e-35;Down;AT1G23390.1
BEE3;1.77565212793162;-19.7438529188458;8.53596573897337e-35;Up;AT1G73830.1
BBX17;1.73779193409612;-18.9376064730481;9.5994103782459e-35;Up;AT1G49130.1
LAC8;-3.634107992178;-22.8484047270545;1.29430545733594e-34;Down;AT5G01040.1
TRFL6;1.70162198686642;-17.7317674780839;2.06832465627864e-34;Up;AT1G72650.2
RECEPTOR-LIKE PROTEIN KINASE;-2.44921095715669;-18.9075000961964;2.97839650150319e-34;Down;AT4G23290.2
AT1G74790;-2.07081379237341;-18.8167693962035;3.42032732653612e-34;Down;AT1G74790.1
NA;1.95444630276029;-19.5408770341206;4.51009005388372e-34;Up;AT5G63375.1
H3.1;-1.65063173658162;-18.7221355705676;5.04686141789277e-34;Down;AT5G65360.1
GAL2;-3.00558847856642;-21.5892207190053;5.07695300456293e-34;Down;AT1G78860.1
ADC1;-1.51342674387261;-17.5279024931645;6.99549628503124e-34;Down;AT2G16500.1
HTR13;-2.75208172737457;-20.8766493654184;8.904712908759e-34;Down;AT5G10390.1
HSP26.5;3.85071365974993;-20.7803730787431;9.51391356954311e-34;Up;AT1G52560.1
H3.1;-2.05392629283248;-18.938445337813;9.89385563260744e-34;Down;AT1G09200.1
ATBBE6;-3.80287344997017;-21.286748438229;1.1822333776405e-33;Down;AT1G26410.1
HSP21;8.748893613075;-17.2664144243247;1.39589389596608e-33;Up;AT4G27670.1
ALDH2C4;-1.84194989761955;-16.0562968784898;1.56997080035749e-33;Down;AT3G24503.1
CPT4;2.41558389488428;-19.1009670255329;1.76742036961258e-33;Up;AT5G58770.1
